啊	啊	a·	不錯啊，多美啊，快來啊，很好啊，小心啊	（助詞）表示贊歎、驚歎、疑問、肯定、辯解、催促，停頓、列舉等語氣	
杵	杵	chǔ			
礎	础	chǔ	基礎		
儲	储	chǔ/chú	儲存，積蓄		
蠢	蠢	chǔn	蠢笨，愚蠢		
篡	篡	cuàn	篡位，篡改		
竄	窜	cuàn	流竄，逃竄		
爨	爨	cuàn		灶；燒火做飯	
粹	粹	cuì	精粹，純粹		
脆	脆	cuì	乾脆		
啐	啐	cuì	啐唾沫	用力吐出來	
焠	焠	cuì	焠煉	燒，灼	
淬	淬	cuì	淬礪	刻苦鍛煉	
悴	悴	cuì	憔悴		
萃	萃	cuì	薈萃，出類拔萃		
翠	翠	cuì	翠綠，翡翠		
瘁	瘁	cuì	心力交瘁，鞠躬盡瘁	過渡勞累	
錯	错	cuò	錯誤，犯錯		
銼	锉	cuò	銼刀		
挫	挫	cuò	挫敗，挫折		
措	措	cuò	措施，失措	處置，安放，籌劃	
痤	痤	cuó	痤瘡	暗瘡，一種皮膚病	
汆	汆	cuān		把食物放進開水裡稍微煮一下	
躥	蹿	cuān		向上跳，向前跳，噴射	
攛	撺	cuān		扔，拋擲，慫慂	
摧	摧	cuī	摧毀		
崔	崔	cuī		（姓）高大的樣子	
催	催	cuī	催促		
衰	衰	cuī	衰序，等衰	次序，等級	
榱	榱	cuī		屋椽，椽子	
搓	搓	cuō	揉搓		
磋	磋	cuō	磋商，切磋		
撮	撮	cuō/cuò	撮合，撮口，撮要，公撮，一撮鹽，一撮土，一撮芝麻，小撮壞人	（動詞）聚合，聚攏，抓取，摘錄，摘取；（方言，量詞）手指抓取物的單位，極少的東西	
璀	璀	cuǐ	璀璨	光亮，色彩鮮明	
菜	菜	cài			
蔡	蔡	cài		（姓）	
燦	灿	càn	燦爛		
璨	璨	càn	璀璨		
粲	粲	càn	粲然，粲粲	鮮明美好的樣子	
肏	肏	cào		（粗俗語）男子的性交動作	操
裁	裁	cái	裁判，裁減，獨裁		
才	才	cái	才能，天才	能力	
財	财	cái			
材	材	cái	材料，木材		
才	才	cái	方才，剛才	剛剛	纔
慚	惭	cán	慚愧，羞慚		
蠶	蚕	cán	蠶絲，蠶繭，蠶豆		
殘	残	cán	殘忍，兇殘		
藏	藏	cáng	躲藏，隱藏，收藏	躲，收好	
嘈	嘈	cáo	嘈雜		
漕	漕	cáo	漕運	從內陸河流和海路運送官糧到朝廷和運送軍糧到軍區	
槽	槽	cáo	水槽		
曹	曹	cáo		（姓）	
螬	螬	cáo	蠐螬		
冊	册	cè	冊子，手冊		
惻	恻	cè	惻隱，淒惻	悲痛，悲傷	
廁	厕	cè	廁所，男廁		
側	侧	cè	側面，外側		
測	测	cè	測試，推測		
策	策	cè	策略，政策		
蹭	蹭	cèng	蹭蹬，磨蹭	拖延時間	
涔	涔	cén			
岑	岑	cén			
曾	曾	céng	曾經，未曾		
層	层	céng	層次，階層		
嶒	嶒	céng	崚嶒	形容山高的樣子	
次	次	cì	次數，次級，初次，再次		
刺	刺	cì	刺激，魚刺		
伺	伺	cì	伺候	守候，服侍，照料	
賜	赐	cì/sì	賜教，賜予，恩賜		
瓷	瓷	cí	瓷器，陶瓷		
辭	辞	cí	辭職，辭行，辭典		
糍	糍	cí	糍粑		
詞	词	cí	詞句，詞典		
祠	祠	cí	祠堂，宗祠		
磁	磁	cí	磁鐵，磁性，磁石		
慈	慈	cí	慈祥，慈悲，仁慈		
茲	兹	cí	龜茲	（古）國名	
茨	茨	cí			
雌	雌	cí/cī	雌雄		
湊	凑	còu	湊合，緊湊	聚合，聚集，會合，挨近，接近，趕，趁	
從	从	cóng	從前，從來，從沒，從此，從事，從軍，從速，從簡，從寬，從嚴，跟從，服從，順從，從頭來過，力不從心	跟隨，依順，處理；由，自	
琮	琮	cóng			
叢	丛	cóng	叢林，叢書		
從	从	cóng/cōng	從容，從容不迫	舒緩不急，不緊張的樣子	
從	从	cóng/zòng	從犯，從吏，隨從，侍從，僕從，主從，從兄，從叔，主從關係	跟隨的人，僕役；附和的，附加的；親族同祖的	
醋	醋	cù	醋酸，吃醋		
蹙	蹙	cù	蹙眉		
簇	簇	cù	簇擁	聚成一團	
促	促	cù	促使，催促		
猝	猝	cù			
蹴	蹴	cù	一蹴而就	踢，踏	
酢	酢	cù	酬酢	醋	
寸	寸	cùn	寸步，分寸		
吋	吋	cùn		英寸	
存	存	cún	存在，生存		
擦	擦	cā			
猜	猜	cāi	猜想，亂猜		
參	参	cān	參加，參與，參見，參考，參閱，參觀，參軍，參賽	加入	
餐	餐	cān	餐廳，早餐		
倉	仓	cāng	倉庫		
蒼	苍	cāng	蒼白		
艙	舱	cāng	艙門，頭艙		
滄	沧	cāng	滄桑，滄海		
傖	伧	cāng	傖俗	粗野鄙俗	
鶬	鸧	cāng	鶬鶊	黃鸝	
糙	糙	cāo	糙米，粗糙		
操	操	cāo	操作，體操	拿，掌握，鍛煉，從事	
參	参	cēn	參差，參差不齊	大小不一，不整齊的樣子	
疵	疵	cī	瑕疵		
差	差	cī	差等，參差，參差不齊	長短不齊	
跐	跐	cī	跐溜	腳下滑動	
呲	呲	cī	呲兒，捱呲	斥責，申斥	
粢	粢	cī	粢飯	一種用糯米做成的食品	
囪	囱	cōng	煙囪		
匆	匆	cōng	匆忙		
聰	聪	cōng	聰明		
蔥	葱	cōng	蔥頭，大蔥		
樅	枞	cōng	樅樹，樅酸	（樹名）冷杉	
驄	骢	cōng	驄馬	毛色青白相間的馬	
粗	粗	cū			
村	村	cūn	村莊，鄉村		邨
礤	礤	cǎ	礤床	粗石	
踩	踩	cǎi			
綵	彩	cǎi	綵帶，剪綵		
采	采	cǎi	神采，丰采，興高采烈	神態，神色，神情，精神	
睬	睬	cǎi	理睬		
採	采	cǎi	採訪，採購，開採		
彩	彩	cǎi	彩色，色彩	各色的綢子	
慘	惨	cǎn	慘重，悲慘		
草	草	cǎo	草坪，青草		
此	此	cǐ	此處，彼此		
跐	跐	cǐ		踏，踐踏，踩	
泚	泚	cǐ	泚筆，清泚	清澈或鮮明的樣子	
玼	玼	cǐ	玼玼	顏色鮮明的樣子	
忖	忖	cǔn	忖度，思忖	推測，思量	
躂	跶	da·	蹓躂，蹦躂		
瘩	瘩	da·	疙瘩		
繨	繨	da·	紇繨		
地	地	de·			
得	得	de·		（助詞）	
的	的	de·	你的，他的		
奠	奠	diàn	奠定		
店	店	diàn	店舖，書店		
甸	甸	diàn	緬甸		
殿	殿	diàn	神殿		
鈿	钿	diàn	鈿鏡，寶鈿，螺鈿，翠鈿，金鈿	把金屬、寶石等鑲嵌在物體上面作裝飾	
玷	玷	diàn	玷污	缺點，污點	
電	电	diàn	電力，閃電		
惦	惦	diàn	惦記		
佃	佃	diàn	佃農		
墊	垫	diàn	墊底，床墊		
澱	淀	diàn	澱粉，沉澱		
靛	靛	diàn	靛青，藍靛	一種藍色染料	
掉	掉	diào			
弔	吊	diào	弔唁，弔孝，弔喪	祭奠死者	
釣	钓	diào	釣魚		
調	调	diào	調查，調動，調職，調遣，調離，調配，調子，曲調，腔調，低調，強調，聲調，論調，情調，步調，單調		
吊	吊	diào	懸吊，吊橋，吊銷	懸掛，懸掛的；收回，扣留	
銱	铞	diào	釕銱兒	扣住門窗等的鐵片	
碟	碟	dié	碟子，飛碟		
疊	叠	dié	疊韻，重疊		
諜	谍	dié	諜報，間諜		
蝶	蝶	dié	蝶泳，蝴蝶		
牒	牒	dié	牒文，最後通牒		
迭	迭	dié	迭代，更迭		
耋	耋	dié	耄耋之年	年老，指七十或八十歲	
鰈	鲽	dié	鶼鰈情深	比目魚的一種	
喋	喋	dié	喋血，喋喋不休		
瓞	瓞	dié	瓜瓞，綿綿瓜瓞	小瓜	
顛	颠	diān	顛倒		
巔	巅	diān	巔峰		
癲	癫	diān	癲癇，瘋癲		
滇	滇	diān			
掂	掂	diān	掂量，掂斤播兩	用手量東西的輕重	
刁	刁	diāo	刁難，刁鑽	狡詐，狡猾	
雕	雕	diāo	雕刻，浮雕		彫
貂	貂	diāo	貂蟬，貂皮		
凋	凋	diāo	凋謝		
叼	叼	diāo			
碉	碉	diāo	碉堡，碉樓	一種防守用的建築物	
鯛	鲷	diāo	真鯛，黑鯛	一種海魚	
鵰	雕	diāo	海鵰，猛鵰	鷲，一種視力極強的猛禽	
爹	爹	diē	爹娘，老爹		
跌	跌	diē/dié	跌倒，暴跌		
丟	丢	diū	丟失，丟臉，丟掉		
嗲	嗲	diǎ/diē	嗲聲嗲氣	撒嬌的聲音或姿態	
典	典	diǎn	典禮，古典		
碘	碘	diǎn		化學元素53	
點	点	diǎn	點名，糕點，有點		
踮	踮	diǎn/diàn	踮腳	抬起腳跟而腳尖著地	
屌	屌	diǎo		俗稱男性外生殖器	
緞	缎	duàn	緞帶，綢緞		
段	段	duàn	段落，階段		
煅	煅	duàn		中藥製法，放在火裡燒	
斷	断	duàn			
鍛	锻	duàn	鍛煉，鍛鐵，鍛造		
對	对	duì	對待，面對		
隊	队	duì	隊伍，排隊		
兌	兑	duì	兌換，匯兌		
惰	惰	duò	懶惰		
墮	堕	duò	墮落		
剁	剁	duò	剁肉		
舵	舵	duò	舵手		
馱	驮	duò	馱子，一馱糧，一馱貨	（名詞、量詞）用於牲口載的貨	
跺	跺	duò	跺腳		跥
鐸	铎	duó			
奪	夺	duó	奪走，搶奪		
度	度	duó	忖度，揣度，測度，度德量力，以己度人	計算，推測，估計	
踱	踱	duó/duò	踱方步，踱來踱去	一步一步慢慢地行走	
端	端	duān	端茶，末端		
堆	堆	duī	堆積，土堆		
多	多	duō	多少，多數，過多		
哆	哆	duō	哆嗦	發抖	
咄	咄	duō/duò	咄咄，咄咄逼人	斥責，呵叱，驚歎	
多	多	duō/duó	多麼		
掇	掇	duō/duó	掇拾，掂掇	拾取；用雙手拿；扭轉	
短	短	duǎn			
朵	朵	duǒ	花朵		朶
躲	躲	duǒ	躲避		
嚲	亸	duǒ	嚲避	下垂	
埵	埵	duǒ			
大	大	dà	大人，長大		
戴	戴	dài	戴帽，愛戴		
靆	叇	dài	靉靆	雲彩很厚的樣子	
大	大	dài	大夫，大王，大黃，大城		
甙	甙	dài		一種有機化合物，也叫糖苷	
玳	玳	dài	玳瑁		
殆	殆	dài	殆盡，危殆		
岱	岱	dài	岱山，岱嶽	泰山的別稱	
黛	黛	dài	黛綠，粉黛	一種青黑色的顏料	
怠	怠	dài	怠慢		
逮	逮	dài	逮捕		
待	待	dài	待遇，等待	等候，對待	
袋	袋	dài	袋子，口袋		
代	代	dài	代表，時代		
貸	贷	dài	貸款，高利貸		
帶	带	dài			
旦	旦	dàn	旦夕，旦角，元旦，一旦		
蛋	蛋	dàn	蛋白，雞蛋		
但	但	dàn	但是，不但		
淡	淡	dàn	淡水，冷淡		
彈	弹	dàn	彈頭，彈丸，彈弓，彈道，彈藥，子彈，導彈，炮彈，炸彈，中彈，原子彈，手榴彈	（名詞）彈弓或槍械發射的小丸；炸彈之類的爆炸物	
誕	诞	dàn	誕生，怪誕		
擔	担	dàn	擔子，扁擔，重擔，貨郎擔，挑重擔，勇挑重擔，生活重擔	挑東西的工具；肩負的責任、工作、任務	
憚	惮	dàn	肆無忌憚		
疍	疍	dàn	疍民	沿海一帶的水上居民	
氮	氮	dàn			
石	石	dàn	一石米	市制容量單位	
癉	瘅	dàn	癉惡，卒癉，彰善癉惡	憎恨	
澹	澹	dàn	澹災	消除	
窞	窞	dàn		深洞	
萏	萏	dàn	菡萏	荷花	
當	当	dàng	當成，當日，當真，當鋪，上當，不當，妥當，恰當，適當，失當，勾當，當作，便當，停當，典當	合適，抵得上，認為，作為，圈套，事情發生的同一時間，典押，抵押	
蕩	荡	dàng	蕩漾，放蕩，浪蕩，淫蕩，水蕩		
盪	荡	dàng	盪滌，動盪，飄盪，震盪，掃盪，遊盪		
宕	宕	dàng	延宕，跌宕	拖延	
菪	菪	dàng	莨菪		
碭	砀	dàng	碭山	（地名）	
檔	档	dàng/dǎng	檔案，搭檔		
道	道	dào	道德，街道		
倒	倒	dào	倒是，倒車，倒立，倒數，倒退，倒序，倒水，倒不如，倒垃圾，倒過來，喝倒彩，倒背如流，本末倒置	相反的，反面的，位置弄反了的；向後；使容器裡的東西出來；跟意料相反	
盜	盗	dào	盜竊，偷盜		
到	到	dào	到達，看到		
稻	稻	dào	稻草		
悼	悼	dào	悼念，哀悼		
答	答	dá	答辯，答話，回答		
達	达	dá	達成，到達		
沓	沓	dá	一沓紙，一沓鈔票	量詞，用於疊起來的薄薄的東西	
韃	鞑	dá	韃靼		
妲	妲	dá	妲己		
打	打	dá	一打雞蛋，一打鉛筆	（量詞）指十二個	
靼	靼	dá	韃靼		
薘	荙	dá	莙薘菜	一種蔬菜	
叨	叨	dáo	叨咕	小聲嘮叨	
凳	凳	dèng	凳子，板凳		櫈
鐙	镫	dèng	鐙子，馬鐙	掛在馬鞍兩旁的東西，騎馬人放腳用	
瞪	瞪	dèng	瞪眼，目瞪口呆		
鄧	邓	dèng			
磴	磴	dèng	磴道，危磴	山路的石級，石頭台階	
德	德	dé	德行，道德		
得	得	dé	得到，獲得	獲取，拿到	
棣	棣	dì			
蒂	蒂	dì	煙蒂，芥蒂		
地	地	dì	地方，土地		
第	第	dì			
帝	帝	dì	帝國，皇帝		
的	的	dì	目的，標的，一言中的，眾矢之的，無的放矢	箭靶的中心	
遞	递	dì	遞送，快遞		
弟	弟	dì	弟弟，兄弟		
諦	谛	dì	諦聽	仔細	
締	缔	dì	締造，取締		
碲	碲	dì		化學元素52	
娣	娣	dì			
啶	啶	dìng	嘧啶，吖啶，吡啶	（音譯用字）	
訂	订	dìng	訂閱，修訂		
定	定	dìng	定義，一定		
釘	钉	dìng	釘釘子，釘馬掌，釘釦子	（動詞）用釘子固定別的東西	
錠	锭	dìng	錠子，紡錠	紡紗機繞紗的幾件；金屬、藥物等的塊狀物	
碇	碇	dìng	下碇，起碇	系船的石墩	
腚	腚	dìng	光腚	（方言）臀部，屁股	
翟	翟	dí	墨翟	（古）長尾野雞的羽毛	
嫡	嫡	dí	嫡子，嫡系	正妻，正妻所生的	
迪	迪	dí	迪斯科		
滌	涤	dí	洗滌		
狄	狄	dí			
笛	笛	dí	吹笛		
敵	敌	dí	敵人，宿敵		
糴	籴	dí	糴糧食，糴米	買進糧食	
的	的	dí	的確，的當	確實，實在	
荻	荻	dí		一種植物	
頔	頔	dí		美好	
恫	恫	dòng	恫嚇		
動	动	dòng	動物，行動		
洞	洞	dòng	洞穴，山洞		
凍	冻	dòng	凍結，冰凍		
棟	栋	dòng	棟梁，棟宇		
胴	胴	dòng	胴體	體腔，軀幹	
侗	侗	dòng	侗族		
逗	逗	dòu	逗留，挑逗		
痘	痘	dòu	痘苗		
豆	豆	dòu	豆腐，青豆		
竇	窦	dòu			
鬥	斗	dòu	鬥爭，戰鬥，奮鬥，搏鬥		
讀	读	dòu	句讀	（古）文章裡停頓的地方	
妒	妒	dù	妒忌，嫉妒		
肚	肚	dù	肚子，餓肚		
度	度	dù	度過，度假，度量，角度，溫度，長度，高度，進度，限度，制度，態度，風度，氣度，程度，再度，過度，年度，度量衡，度日如年，一年一度		
渡	渡	dù	渡輪，過渡		
蠹	蠹	dù	蠹魚，戶樞不蠹		
杜	杜	dù	杜鵑，杜絕		
鍍	镀	dù	鍍金，電鍍		
芏	芏	dù	茳芏	席草，一種莖可用來織席等的草本植物	
燉	炖	dùn			
盾	盾	dùn	盾牌，矛盾		
鈍	钝	dùn			
頓	顿	dùn	頓首，停頓		
遁	遁	dùn	遁跡，逃遁	逃避，逃走，隱藏	
沌	沌	dùn	混沌		
讀	读	dú	讀書，閱讀	（動詞）看書	
獨	独	dú	獨特，孤獨		
毒	毒	dú	毒蛇，中毒		
瀆	渎	dú	瀆職，褻瀆	輕慢，不尊敬	
牘	牍	dú	案牘，連篇累牘	公文，書信	
犢	犊	dú	牛犢，舐犢情深	小牛	
黷	黩	dú	黷武，窮兵黷武	濫用	
櫝	椟	dú	買櫝還珠	匣子	
髑	髑	dú	髑髏	骷髏，死人的骨頭	
答	答	dā	答應，答理		
耷	耷	dā	耷拉	耳朵大	
搭	搭	dā	搭船，搭載		
噠	哒	dā	嚈噠，噠嗪	（譯音用字）	
呆	呆	dāi	呆子，發呆		獃
待	待	dāi	待會兒，待不住，待在家裡	停留，逗留	呆
丹	丹	dān	丹田，牡丹		
單	单	dān	單薄，單獨，單純，單程，簡單，帳單，床單	一個，獨自，不複雜	
擔	担	dān	擔米，擔柴，擔水，擔當，擔心，擔負，擔任，擔憂，擔保，擔待，負擔，承擔，分擔，擔風險，擔當重任，擔負責任	用肩膀挑，負責，負起，承當；憂慮，記掛，操心	
耽	耽	dān	耽誤，耽擱	拖延	
鄲	郸	dān	邯鄲	（地名）	
眈	眈	dān	虎視眈眈	眼睛注視的樣子	
聃	聃	dān	聃周，老聃	（用於人名）	
儋	儋	dān	儋縣，儋州	（地名）	
癉	瘅	dān	癉瘧，癉熱	中醫指瘧疾的一種	
殫	殚	dān	殫精竭慮	盡，竭盡	
當	当	dāng	當下，當中，當然，當心，當時，當代，當眾，當兵，當官，當家，當初，當地，當頭，當局，當選，當道，當面，應當，擔當，敢當，正當，相當，當老師，不敢當	擔任，執掌，承擔，面向，阻攔，應該，正在	
噹	当	dāng	叮噹，噹啷	象聲詞	
鐺	铛	dāng	鋃鐺入獄	撞擊金屬的聲音	
襠	裆	dāng	褲襠，開襠褲	褲腿相連的地方	
刀	刀	dāo	刀叉，剪刀		
叨	叨	dāo	叨念，叨叨，嘮叨，絮叨，念叨，磨叨，絮絮叨叨	羅嗦，話多	
燈	灯	dēng	燈光，開燈		
登	登	dēng	登記，刊登		
噔	噔	dēng	噔噔地響	（象聲詞）	
蹬	蹬	dēng/dèng			
得	得	děi		必須，須要	
等	等	děng	等待，平等		
戥	戥	děng	戥子，戥秤	一種小秤	等
滴	滴	dī			
低	低	dī	低調，低頭，降低		
提	提	dī	提溜	垂手拿著	
的	的	dī/dí	的哥，打的，的士	的士的簡稱，指出租汽車	
堤	堤	dī/tí	堤壩，河堤	一種防洪的建築物	隄
提	提	dī/tí	提防	小心防備	
仃	仃	dīng	孤苦伶仃		
丁	丁	dīng	丁點，男丁		
釘	钉	dīng	釘子，眼中釘	（名詞）指釘子；（動詞）監視，盯	
盯	盯	dīng	盯住，盯視，盯緊		
町	町	dīng		（地名）	
叮	叮	dīng			
玎	玎	dīng			
冬	冬	dōng	冬眠，嚴冬		
咚	咚	dōng	黑咕隆咚	（象聲詞）	
氡	氡	dōng		化學元素86	
東	东	dōng	東方，股東		
兜	兜	dōu	兜圈，肚兜		
都	都	dōu	全都	全部，所有	
督	督	dū	督察，監督		
都	都	dū	都市，首都	首都	
嘟	嘟	dū	嘟嘴，嘟囔，嘟嚕		
惇	惇	dūn	惇樸，惇篤	敦厚	
敦	敦	dūn	敦促，敦厚，敦煌，倫敦		
墩	墩	dūn	土墩，門墩，橋墩	量詞，也指土堆或厚粗的木頭、石頭等	
蹲	蹲	dūn	蹲下，蹲坐		
噸	吨	dūn/dùn			
打	打	dǎ	打鼓，打掃，打更，打碎，打人，打架，打仗，打獵，打開，打賭，打算，敲打，拍打，攻打，毆打，打招呼，打擂台，打噴嚏，打呵欠，打草驚蛇，打抱不平，打退堂鼓，精打細算，一網打盡，趁火打劫，無精打采	拍，敲，捶，敲擊，拍打；也表示某些特定的動作、活動、行動等	
傣	傣	dǎi	傣族		
歹	歹	dǎi	歹徒，好歹		
膽	胆	dǎn	膽子，大膽		
疸	疸	dǎn	黃疸		
撢	掸	dǎn	撢子，撢土	拂塵用具，以雞毛或不條作成；用撢子掃去灰塵	撣
撣	掸	dǎn	撣撣	儆戒；恭敬	
亶	亶	dǎn	亶厚，亶信	實在，忠厚，誠然	
擋	挡	dǎng	阻擋		
黨	党	dǎng	黨員，死黨		
島	岛	dǎo	島嶼，冰島		
搗	捣	dǎo	搗亂，搗蛋		
倒	倒	dǎo	倒塌，倒向，倒霉，倒閉，倒换，倒胃口，摔倒，跌倒，滑倒，顛倒，排山倒海	豎立的東西落下來；轉換，更換，調轉	
導	导	dǎo	導致，輔導		
禱	祷	dǎo	禱告，祈禱		
蹈	蹈	dǎo/dào	舞蹈		
骶	骶	dǐ	骶骨	尾骨	
邸	邸	dǐ	官邸		
柢	柢	dǐ	根柢，根深柢固		
詆	诋	dǐ	詆毀		
底	底	dǐ	底部，海底		
抵	抵	dǐ	抵抗，抵達		
鼎	鼎	dǐng			
頂	顶	dǐng	頂尖，屋頂		
酊	酊	dǐng	酩酊大醉		
懂	懂	dǒng	懂事，易懂		
董	董	dǒng	董事，古董		
蚪	蚪	dǒu	蝌蚪		
抖	抖	dǒu	抖擻，發抖		
陡	陡	dǒu	陡峭		
斗	斗	dǒu	斗笠，煙斗，熨斗，漏斗，筋斗，北斗星		
賭	赌	dǔ	賭場，打賭		
篤	笃	dǔ	篤信，篤定	忠誠	
睹	睹	dǔ	目睹，先睹為快		
堵	堵	dǔ	堵塞		
盹	盹	dǔn			
琺	珐	fà	琺瑯質		
髮	发	fà/fǎ	髮型，頭髮		
販	贩	fàn	販賣，小販		
範	范	fàn	範圍，模範		
飯	饭	fàn	飯館，白飯		
犯	犯	fàn	犯錯，罪犯		
梵	梵	fàn	梵文		
范	范	fàn		（姓）	
泛	泛	fàn			氾，汎
放	放	fàng	放手，開放		
閥	阀	fá	財閥，軍閥		
筏	筏	fá	木筏		
乏	乏	fá	乏味，貧乏		
罰	罚	fá	罰款，處罰		
伐	伐	fá/fā	伐木，砍伐		
凡	凡	fán	凡人，平凡		
煩	烦	fán	煩惱，麻煩		
繁	繁	fán	繁忙，頻繁		
樊	樊	fán	樊籬		
釩	钒	fán		化學元素23	
蕃	蕃	fán	蕃茂，蕃昌	草木茂盛	
礬	矾	fán	明礬，膽礬		
璠	璠	fán	璠瑪，璵璠	美玉，寶玉	
房	房	fáng	房子，臥房		
防	防	fáng	防止，預防		
肪	肪	fáng	脂肪		
妨	妨	fáng	妨礙，不妨		
費	费	fèi	費用，浪費		
狒	狒	fèi	狒狒		
沸	沸	fèi	沸騰，煮沸		
吠	吠	fèi	吠叫，狗吠		
廢	废	fèi	廢鐵，殘廢		
肺	肺	fèi	肺臟，肺腑		
奮	奋	fèn	奮鬥，興奮		
分	分	fèn	分量，部分，成分，身分，過分，本分，名分，緣分，情分，糖分，養分	整體中的局部	份
憤	愤	fèn	憤怒，義憤		
糞	粪	fèn			
份	份	fèn	股份，省份，縣份，年份，月份，一份報紙，一份工作，一份禮物，一份薪水	整體中的一個單位；（量詞）用於報刊、文件、定量事物等	
忿	忿	fèn	忿忿不平，不忿		
鳳	凤	fèng	鳳凰，龍鳳		
奉	奉	fèng	奉獻，信奉		
縫	缝	fèng	縫子，縫隙，裂縫，門縫	（名詞）空隙，細長的口子；接合的地方	
俸	俸	fèng	俸祿，年俸，薪俸	官吏的薪金	
肥	肥	féi	肥胖，施肥		
腓	腓	féi	腓骨	腿肚子，脛骨後的肉	
焚	焚	fén	焚燒，自焚		
汾	汾	fén	汾河	（水名）	
墳	坟	fén/fèn	墳墓，墳場		
逢	逢	féng	逢迎，相逢		
縫	缝	féng	縫紉，縫補，縫上，裁縫	（動詞）用針線連結	
馮	冯	féng		（姓）	
佛	佛	fó	佛教，活佛		
否	否	fóu	否認，否定，否決，否則，是否，可否，與否	不然，反對，不同意	
腹	腹	fù	腹部，剖腹		
負	负	fù	負面，欺負		
蝮	蝮	fù	蝮蛇		
覆	覆	fù	覆舟，覆滅，顛覆，傾覆	傾跌，翻倒；回答；罩住，蓋住；失敗，毀滅；再次，再來	
訃	讣	fù	訃聞，訃告		
馥	馥	fù	馥郁		
付	付	fù	付帳，應付		
富	富	fù	富有，財富		
赴	赴	fù	赴約，赴會，赴考		
復	复	fù	復習，復仇，康復，報復	去而又來，失而又得；回答；報	
賦	赋	fù	賦予，天賦		
傅	傅	fù	師傅		
副	副	fù	副詞，副作用，副總統		
